time,co2,voc
2025-08-19 11:45:23.130,511.79,96.07
2025-08-19 11:45:24.131,511.79,96.07
2025-08-19 11:45:25.132,511.79,96.07
2025-08-19 11:45:26.133,511.79,96.07
2025-08-19 11:45:27.134,511.79,96.07
2025-08-19 11:45:28.135,511.79,96.07
2025-08-19 11:45:29.136,511.79,96.07
2025-08-19 11:45:30.136,511.79,96.07
2025-08-19 11:45:31.137,511.79,96.07
2025-08-19 11:45:32.138,511.79,96.07
2025-08-19 11:45:33.139,511.79,96.07
2025-08-19 11:45:34.139,511.79,96.07
2025-08-19 11:45:35.141,511.79,100.44
2025-08-19 11:45:36.141,511.79,96.07
2025-08-19 11:45:37.142,511.79,96.07
2025-08-19 11:45:38.144,511.79,104.80
2025-08-19 11:45:39.144,511.79,100.44
2025-08-19 11:45:40.145,511.79,100.44
2025-08-19 11:45:41.146,511.79,100.44
2025-08-19 11:45:42.147,511.79,100.44
2025-08-19 11:45:43.148,511.79,100.44
2025-08-19 11:45:44.149,511.79,100.44
2025-08-19 11:45:45.148,511.79,96.07
2025-08-19 11:45:46.149,511.79,96.07
2025-08-19 11:45:47.150,511.79,96.07
2025-08-19 11:45:48.151,511.79,96.07
2025-08-19 11:45:49.152,511.79,96.07
2025-08-19 11:45:50.153,511.79,96.07
2025-08-19 11:45:51.154,511.79,96.07
2025-08-19 11:45:52.154,511.79,96.07
2025-08-19 11:45:53.155,511.79,96.07
2025-08-19 11:45:54.156,511.79,96.07
2025-08-19 11:45:55.157,511.79,96.07
2025-08-19 11:45:56.158,511.79,96.07
2025-08-19 11:45:57.160,511.79,100.44
2025-08-19 11:45:58.161,511.79,100.44
2025-08-19 11:45:59.161,511.79,96.07
2025-08-19 11:46:00.162,511.79,96.07
2025-08-19 11:46:01.163,511.79,96.07
2025-08-19 11:46:02.164,511.79,96.07
2025-08-19 11:46:03.165,511.79,96.07
2025-08-19 11:46:04.166,511.79,96.07
2025-08-19 11:46:05.167,511.79,96.07
2025-08-19 11:46:06.168,511.79,96.07
2025-08-19 11:46:07.169,511.79,96.07
2025-08-19 11:46:08.170,511.79,96.07
2025-08-19 11:46:09.171,511.79,96.07
2025-08-19 11:46:10.172,511.79,96.07
2025-08-19 11:46:11.173,511.79,96.07
2025-08-19 11:46:12.174,511.79,96.07
2025-08-19 11:46:13.175,511.79,96.07
2025-08-19 11:46:14.175,511.79,96.07
2025-08-19 11:46:15.176,511.79,96.07
2025-08-19 11:46:16.177,511.79,96.07
2025-08-19 11:46:17.179,511.79,100.44
2025-08-19 11:46:18.180,511.79,100.44
2025-08-19 11:46:19.179,511.79,96.07
2025-08-19 11:46:20.180,511.79,96.07
2025-08-19 11:46:21.181,511.79,96.07
2025-08-19 11:46:22.182,511.79,96.07
2025-08-19 11:46:23.183,511.79,96.07
2025-08-19 11:46:24.184,511.79,96.07
2025-08-19 11:46:25.185,511.79,96.07
2025-08-19 11:46:26.186,511.79,96.07
2025-08-19 11:46:27.186,511.79,96.07
2025-08-19 11:46:28.187,511.79,96.07
2025-08-19 11:46:29.188,511.79,96.07
2025-08-19 11:46:30.189,511.79,96.07
2025-08-19 11:46:31.190,511.79,96.07
2025-08-19 11:46:32.192,511.79,100.44
2025-08-19 11:46:33.192,511.79,96.07
2025-08-19 11:46:34.192,511.79,96.07
2025-08-19 11:46:35.193,511.79,96.07
2025-08-19 11:46:36.195,511.79,100.44
2025-08-19 11:46:37.195,511.79,96.07
2025-08-19 11:46:38.196,511.79,96.07
2025-08-19 11:46:39.197,511.79,96.07
2025-08-19 11:46:40.198,511.79,96.07
2025-08-19 11:46:41.199,511.79,96.07
2025-08-19 11:46:42.200,511.79,96.07
2025-08-19 11:46:43.200,511.79,96.07
2025-08-19 11:46:44.201,511.79,96.07
2025-08-19 11:46:45.202,511.79,96.07
2025-08-19 11:46:46.203,511.79,96.07
2025-08-19 11:46:47.204,511.79,96.07
2025-08-19 11:46:48.205,511.79,96.07
2025-08-19 11:46:49.206,511.79,96.07
2025-08-19 11:46:50.207,511.79,96.07
2025-08-19 11:46:51.208,511.79,96.07
2025-08-19 11:46:52.209,511.79,96.07
2025-08-19 11:46:53.210,511.79,96.07
2025-08-19 11:46:54.211,511.79,96.07
2025-08-19 11:46:55.212,511.79,96.07
2025-08-19 11:46:56.212,511.79,96.07
2025-08-19 11:46:57.214,511.79,96.07
2025-08-19 11:46:58.215,511.79,96.07
2025-08-19 11:46:59.215,511.79,96.07
2025-08-19 11:47:00.216,511.79,96.07
2025-08-19 11:47:01.217,511.79,96.07
2025-08-19 11:47:02.218,511.79,96.07
2025-08-19 11:47:03.219,511.79,96.07
2025-08-19 11:47:04.220,511.79,96.07
2025-08-19 11:47:05.221,511.79,96.07
2025-08-19 11:47:06.222,511.79,96.07
2025-08-19 11:47:07.223,511.79,96.07
2025-08-19 11:47:08.225,511.79,96.07
2025-08-19 11:47:09.226,511.79,96.07
2025-08-19 11:47:10.226,511.79,96.07
2025-08-19 11:47:11.227,511.79,96.07
2025-08-19 11:47:12.228,511.79,96.07
2025-08-19 11:47:13.229,511.79,96.07
2025-08-19 11:47:14.230,511.79,96.07
2025-08-19 11:47:15.231,511.79,96.07
2025-08-19 11:47:16.231,511.79,96.07
2025-08-19 11:47:17.232,511.79,96.07
2025-08-19 11:47:18.233,511.79,96.07
2025-08-19 11:47:19.234,511.79,96.07
2025-08-19 11:47:20.235,511.79,96.07
2025-08-19 11:47:21.235,511.79,96.07
2025-08-19 11:47:22.236,511.79,96.07
2025-08-19 11:47:23.237,511.79,96.07
2025-08-19 11:47:24.237,511.79,96.07
2025-08-19 11:47:25.238,511.79,96.07
2025-08-19 11:47:26.240,511.79,100.44
2025-08-19 11:47:27.240,511.79,100.44
2025-08-19 11:47:28.241,511.79,100.44
2025-08-19 11:47:29.242,511.79,100.44
2025-08-19 11:47:30.242,511.79,100.44
2025-08-19 11:47:31.243,511.79,100.44
2025-08-19 11:47:32.242,511.79,96.07
2025-08-19 11:47:33.244,511.79,100.44
2025-08-19 11:47:34.245,511.79,100.44
2025-08-19 11:47:35.246,511.79,100.44
2025-08-19 11:47:36.245,511.79,96.07
2025-08-19 11:47:37.246,511.79,96.07
2025-08-19 11:47:38.247,511.79,96.07
2025-08-19 11:47:39.248,511.79,96.07
2025-08-19 11:47:40.249,511.79,96.07
2025-08-19 11:47:41.250,511.79,96.07
2025-08-19 11:47:42.250,511.79,96.07
2025-08-19 11:47:43.251,511.79,96.07
2025-08-19 11:47:44.252,511.79,96.07
2025-08-19 11:47:45.253,511.79,96.07
2025-08-19 11:47:46.254,511.79,96.07
2025-08-19 11:47:47.255,511.79,96.07
2025-08-19 11:47:48.256,511.79,96.07
2025-08-19 11:47:49.257,511.79,96.07
2025-08-19 11:47:50.258,511.79,96.07
2025-08-19 11:47:51.259,511.79,96.07
2025-08-19 11:47:52.260,511.79,96.07
2025-08-19 11:47:53.261,511.79,96.07
2025-08-19 11:47:54.262,511.79,96.07
2025-08-19 11:47:55.263,511.79,96.07
2025-08-19 11:47:56.264,511.79,96.07
2025-08-19 11:47:57.264,511.79,96.07
2025-08-19 11:47:58.265,511.79,96.07
2025-08-19 11:47:59.266,511.79,96.07
2025-08-19 11:48:00.267,511.79,96.07
2025-08-19 11:48:01.268,511.79,96.07
2025-08-19 11:48:02.269,511.79,96.07
2025-08-19 11:48:03.270,511.79,96.07
2025-08-19 11:48:04.271,511.79,96.07
2025-08-19 11:48:05.271,511.79,96.07
2025-08-19 11:48:06.272,511.79,96.07
2025-08-19 11:48:07.273,511.79,96.07
2025-08-19 11:48:08.274,511.79,96.07
2025-08-19 11:48:09.275,511.79,96.07
2025-08-19 11:48:10.275,511.79,96.07
2025-08-19 11:48:11.276,511.79,96.07
2025-08-19 11:48:12.277,511.79,96.07
2025-08-19 11:48:13.278,511.79,96.07
2025-08-19 11:48:14.279,511.79,96.07
2025-08-19 11:48:15.280,511.79,96.07
2025-08-19 11:48:16.281,511.79,96.07
2025-08-19 11:48:17.282,511.79,96.07
